Genotype,Stimulant,Peak_Index,Peak_Time,Peak,Delta_Ca,Time_to_Peak,AUC,Duration,Max_Upstroke,Max_Downstroke,Repolarisation_Slope
WT,ATP,20,282.875,0.8494,-0.1506,282.068,45.94824773333333,482.048,0.024940000000000007,-0.019261926,-6.98E-05
WT,ATP,20,282.875,0.7211,-0.2789,282.068,28.086951600000003,482.048,0.01211,-0.006890689,0.000277509
WT,ATP,20,282.875,0.7495,-0.2505,282.068,33.875912400000004,482.048,0.014950000000000008,-0.010211021,0.000532561
WT,ATP,20,282.875,0.7254,-0.2746,282.068,28.945489733333332,482.048,0.012540000000000006,-0.00710071,0.00035045
WT,ATP,21,292.935,0.72,-0.28,292.128,27.025436400000004,513.397,0.01149,-0.007490749,0.000639894
WT,ATP,31,392.858,0.721,-0.279,392.051,17.60826053333334,479.69100000000003,0.005121024,-0.004670467,-0.000510056
WT,ATP,20,282.875,0.6875,-0.3125,282.068,20.162617200000003,482.048,0.00875,-0.00430043,7.74311134156191e-05
WT,ATP,23,312.862,0.6828,-0.3172,312.055,18.899496400000004,513.406,0.00662,-0.002770277,0.000265235
WT,ATP,20,282.875,0.6753,-0.3247,282.068,20.92309546666667,482.048,0.00753,-0.002940294,0.000345589
WT,KCl,24,322.87,1.1978,0.19779999999999998,322.063,213.87234073333335,129.92200000000003,0.031481113320079517,-0.017271727,-0.003551228
WT,KCl,26,342.859,1.336,0.3360000000000001,342.05199999999996,271.30250739999997,119.98200000000003,0.048158954,-0.038063806,-0.006660305
WT,KCl,22,302.875,1.1262,0.1262000000000001,302.068,177.191779,241.54299999999995,0.035974155,-0.013321332,-0.001619671
WT,KCl,26,342.859,1.1196,0.11959999999999993,342.05199999999996,177.95260013333333,291.602,0.0251,-0.022222222,-0.004496202
WT,KCl,23,312.862,0.6879,-0.3121,312.055,82.08193713333335,513.406,0.00477,-0.001818545,-0.000136975
WT,KCl,31,392.858,0.6209,-0.3791,392.051,49.46708833333335,479.69100000000003,0.003080616,-0.005570557,0.000491054
WT,KCl,22,302.875,0.7418,-0.2582,302.068,162.98338433333333,513.4069999999999,0.013440000000000007,-0.005510551,-4.20E-05
WT,KCl,21,292.935,0.7017,-0.2983,292.128,125.71789206666668,513.397,0.00763,-0.004370437,0.000194418
WT,KCl,26,342.859,0.9192,-0.0808,342.05199999999996,148.9659664,513.4069999999999,0.012370000000000003,-0.012791279,-0.002492148
WT,KCl,24,322.87,0.9612,-0.0388,322.063,140.7803676,513.405,0.012664015904572558,-0.016231623,-0.00128904
WT,KCl,25,332.859,1.2184,0.21839999999999993,332.05199999999996,209.89543026666666,139.98200000000003,0.031371769,-0.020042004,-0.005484346
WT,KCl,26,342.859,0.8325,-0.1675,342.05199999999996,121.43857320000001,513.4069999999999,0.009144869,-0.004240424,-0.001624997
WT,KCl,25,332.859,0.9517,-0.0483,332.05199999999996,164.36993713333337,513.4069999999999,0.023280000000000002,-0.020982098,-0.002817201
WT,KCl,20,282.875,0.7714,-0.2286,282.068,136.397503,482.048,0.01714,-0.013131313,1.79675454438525e-05
WT,KCl,20,282.875,0.6938,-0.3062,282.068,84.93664500000003,482.048,0.00938,-0.003960396,0.000133365
WT,KCl,31,392.858,0.7955,-0.2045,392.051,125.05753086666671,479.69100000000003,0.013800000000000002,-0.01160116,-0.001255138
WT,KCl,21,292.935,0.6941,-0.3059,292.128,116.91101886666667,513.397,0.00853,-0.004480448,0.000368167
WT,KCl,21,292.935,0.847,-0.153,292.128,163.7315194,513.397,0.024670000000000004,-0.019721972,0.00052928
WT,KCl,31,392.858,0.8521,-0.1479,392.051,157.07270586666667,479.69100000000003,0.016510000000000004,-0.014741474,-0.001821138
WT,KCl,20,282.875,0.8494,-0.1506,282.068,156.99076073333336,482.048,0.024940000000000007,-0.019261926,-6.98E-05
WT,KCl,20,282.875,0.7211,-0.2789,282.068,104.80336826666668,482.048,0.01211,-0.006890689,0.000277509
WT,KCl,20,282.875,0.7495,-0.2505,282.068,113.84716233333334,482.048,0.014950000000000008,-0.010211021,0.000532561
WT,KCl,20,282.875,0.7254,-0.2746,282.068,110.56969986666667,482.048,0.012540000000000006,-0.00710071,0.00035045
WT,KCl,21,292.935,0.72,-0.28,292.128,112.11225700000003,513.397,0.01149,-0.007490749,0.000639894
WT,KCl,31,392.858,0.721,-0.279,392.051,100.63890973333334,479.69100000000003,0.005121024,-0.004670467,-0.000510056
WT,KCl,20,282.875,0.6875,-0.3125,282.068,109.80647866666669,482.048,0.00875,-0.00430043,7.74311134156191e-05
WT,KCl,23,312.862,0.6828,-0.3172,312.055,92.46051113333336,513.406,0.00662,-0.002770277,0.000265235
WT,KCl,20,282.875,0.6753,-0.3247,282.068,106.11106173333337,482.048,0.00753,-0.002940294,0.000345589
Hom,Glutamate,21,276.283,0.8607,-0.1393,275.476,28.69969334848485,464.668,0.003066427,-0.003909609,-0.000481101
Hom,Glutamate,21,276.283,0.7814,-0.2186,275.476,25.525514904545318,464.668,0.002714571,-0.002861431,-0.000549111
Hom,Glutamate,25,316.277,0.9424,-0.0576,315.46999999999997,7.849614280302955,464.6580000000001,0.003420342,-0.002910582,-0.000879041
Hom,Glutamate,22,286.278,0.9222,-0.0778,285.471,24.41344360909079,464.663,0.003431716,-0.004328269,-0.001056871
Hom,Glutamate,21,276.283,0.7516,-0.2484,275.476,29.680110846969658,464.668,0.001722929,-0.002279088,-0.000457937
Hom,Glutamate,21,276.283,0.7189,-0.2811,275.476,51.29699516060625,464.668,0.003060306,-0.003951976,-0.000423123
Hom,Glutamate,22,286.278,1.3569,0.3569,285.471,106.80668277575765,209.99,0.011905952976488238,-0.006661332,-0.001403976
Hom,Glutamate,22,286.278,1.5432,0.5431999999999999,285.471,136.5690956515151,149.99199999999996,0.021870935,-0.0148,-0.004170266
Hom,Glutamate,22,286.278,1.5069,0.5068999999999999,285.471,143.5777665999998,149.99199999999996,0.021250625,-0.009270927,-0.004014914
Hom,Glutamate,23,296.279,1.559,0.5589999999999999,295.472,151.60485255454543,149.99699999999996,0.073816908,-0.009129087,-0.004002201
Hom,Glutamate,22,286.278,1.8401,0.8401000000000001,285.471,225.60860198181825,159.99199999999996,0.044792396,-0.01290129,-0.00645923
Hom,Glutamate,22,286.278,1.662,0.6619999999999999,285.471,213.49345866969702,199.99,0.02317189,-0.010607878,-0.004676855
Hom,Glutamate,23,296.279,1.5131,0.5130999999999999,295.472,155.56453641666667,139.99,0.033256628314157065,-0.014492899,-0.004466146
Hom,Glutamate,23,296.279,1.6984,0.6983999999999999,295.472,235.53940805757574,189.99,0.02471385,-0.012991299,-0.002743412
