,Peak_Index,Peak_Time,Peak,Delta_Ca,Time_to_Peak,AUC,Decay_Tau,SNR,Duration,Max_Upstroke,Max_Downstroke,Repolarisation_Slope,Cell
0,46,520.811,1.7313,0.7313000000000001,518.648,30.286338549242416,99.99999999999964,112.62219568298936,170.63399999999996,0.08055,-0.037223722372237145,-0.006600969052869497,Mean Intensity 
1,46,520.811,1.6149,0.6149,518.648,27.2575637030303,99.99999999999999,98.09452133634018,240.63299999999998,0.07525,-0.030233959232854858,-0.0031976601755905375,Mean Intensity .1
2,46,520.811,1.5143,0.5143,518.648,22.274031064393938,88.36215649541597,53.67336520580122,170.63399999999996,0.06271,-0.02125715433276445,-0.005952235499431588,Mean Intensity .2
3,46,520.811,1.4215,0.4215,518.648,18.57632077878788,99.99999999999999,19.017528623879773,240.63299999999998,0.059759999999999994,-0.016256652274324813,-0.0032240349473744113,Mean Intensity .3
4,46,520.811,1.3044,0.3044,518.648,13.575505337121214,99.99999999999986,17.502252409424308,230.63299999999998,0.044930000000000005,-0.0149613415001507,-0.003143486880562104,Mean Intensity .4
5,46,520.811,1.3452,0.34519999999999995,518.648,19.317471046212127,99.9999999999914,73.78979121814763,240.63299999999998,0.05206000000000001,-0.014341434143414305,-0.0018455075842666517,Mean Intensity .5
6,23,260.138,0.6728,-0.32720000000000005,257.97499999999997,-2.810038233333299,,-37.22685818178016,428.542,0.00396039603960397,-0.002220222022202215,-0.0005870228890618102,Mean Intensity .6
7,46,520.811,1.603,0.603,518.648,27.503379739393942,99.99999999999999,52.34420375287204,210.63399999999996,0.07683999999999999,-0.026012601260125952,-0.0052967382261891365,Mean Intensity .7
8,46,520.811,1.5347,0.5347,518.648,19.44807445984848,42.52842548655408,7.311154873279936,120.66000000000003,0.06793999999999999,-0.020996083944171223,-0.0065179240829174685,Mean Intensity .8
9,46,520.811,1.5062,0.5062,518.648,19.73938065303031,39.93102491253842,12.643960294058223,130.64500000000004,0.06107999999999999,-0.021939953810623667,-0.006011821497239002,Mean Intensity .9
10,46,520.811,1.5111,0.5111000000000001,518.648,23.862375240151522,99.99999999999999,55.354294421761125,210.63399999999996,0.07092999999999999,-0.046008635405161424,-0.005269247639276041,Mean Intensity .10
11,15,180.14,0.5628,-0.43720000000000003,177.97699999999998,-0.5871423000000211,,-78.28276139460806,377.972,0.002489905787348581,-0.0017100000000000004,-0.00013697909874979056,Mean Intensity .11
12,46,520.811,1.1043,0.10430000000000006,518.648,12.51938962878788,22.511906119861155,38.60403600833082,220.63299999999998,0.029559999999999996,-0.01856612109649574,-0.004418007142109788,Mean Intensity .12
13,47,530.77,1.519,0.5189999999999999,528.607,18.04983202121212,18.803823255934603,77.38699909989623,110.637,0.04508484787629303,-0.0529352935293528,-0.008163769296274352,Mean Intensity .13
14,46,520.811,1.196,0.19599999999999995,518.648,9.103097953787872,54.879298011958,8.134367688284158,120.66000000000003,0.05051,-0.011408859114088616,-0.00456738741321148,Mean Intensity .14
15,46,520.811,1.2408,0.2407999999999999,518.648,8.019930110606069,46.6385844841586,8.824399911858812,160.63399999999996,0.04849,-0.01897780901696966,-0.003246255731501054,Mean Intensity .15
16,46,520.811,1.0127,0.012699999999999934,518.648,3.035023943939394,4.568582273100758,0.7324596116936771,240.63299999999998,0.028270000000000007,-0.014479365398132408,-0.001301808957686794,Mean Intensity .16
17,46,520.811,1.3533,0.35329999999999995,518.648,17.16940965,12.408462316354838,47.580015306365794,150.63500000000005,0.04503999999999999,-0.041098503865850206,-0.0057641542894853685,Mean Intensity .17
18,45,480.132,0.9983,-0.0017000000000000348,477.969,3.936704162878784,,-0.10019724193353464,230.63299999999998,0.02608999999999999,-0.015935334872979295,-0.0011934119042404537,Mean Intensity .18
19,46,520.811,1.2135,0.21350000000000002,518.648,15.953127838636366,99.99999999966279,42.89327796305514,240.63299999999998,0.046819999999999994,-0.01447936539813243,-0.0031742754238364896,Mean Intensity .19
20,46,520.811,1.3825,0.38250000000000006,518.648,18.250139708333336,76.43211680237428,43.436853483745395,200.63299999999998,0.05285999999999998,-0.021452145214521393,-0.004357195655316607,Mean Intensity .20
21,46,520.811,1.3005,0.3005,518.648,10.611768407575767,99.99999999999599,6.8005976343347,160.63399999999996,0.04836,-0.02488201626669358,-0.003790087147726536,Mean Intensity .21
22,46,520.811,1.0969,0.09689999999999999,518.648,6.372751634848486,58.397941859884405,1.9247866596290297,140.656,0.04589000000000001,-0.016718546038759,-0.003238928334731337,Mean Intensity .22
23,46,520.811,1.3428,0.3428,518.648,15.84488291439394,99.99999999999994,28.265024176845593,180.63299999999998,0.05958,-0.0316999698764938,-0.00411015558445119,Mean Intensity .23
24,46,520.811,1.3273,0.3272999999999999,518.648,12.422860625757576,13.170655197176522,20.89134789231259,60.637,0.02186,-0.03018375338889463,-0.0062840718173624134,Mean Intensity .24
25,23,260.138,0.8606,-0.13939999999999997,257.97499999999997,-8.209549748484859,,-2.4932393998488074,428.542,0.018011801180118074,-0.009879012098790088,-0.0022281252996359047,Mean Intensity .25
26,23,260.138,0.9672,-0.03280000000000005,257.97499999999997,-8.937428642424281,,-0.4523036794662044,218.52700000000002,0.027322732273227412,-0.018388161183881545,-0.003015127552275526,Mean Intensity .26
27,46,520.811,1.2489,0.2488999999999999,518.648,13.465177380303022,45.49312029967709,3.345588155150264,150.63500000000005,0.04857999999999999,-0.014399036047796038,-0.00370855902783934,Mean Intensity .27
